panel,scenario,tier,year,entity,origin_region,destination_region,region,role,metric,value,x_value,y_value,minimum,maximum,unit,source_type,style
b,S5,mid,2060,,NE,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NE,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NE,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NE,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NE,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NE,NE,,,attributed_interregional_flow,205.83409915159265,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
c,S1,low,2025,,,,NC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2025,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2025,,,,EC,,regional_demand_met_pct,82.59368841145495,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2025,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2025,,,,SC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2025,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2025,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2030,,,,NC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2030,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2030,,,,EC,,regional_demand_met_pct,62.74561620507556,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2030,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2030,,,,SC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2030,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2030,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2035,,,,NC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2035,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2035,,,,EC,,regional_demand_met_pct,61.77103593941378,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2035,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2035,,,,SC,,regional_demand_met_pct,83.77315915870402,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2035,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2035,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2040,,,,NC,,regional_demand_met_pct,99.99999999999996,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2040,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2040,,,,EC,,regional_demand_met_pct,61.50908866595337,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2040,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2040,,,,SC,,regional_demand_met_pct,77.35834133278573,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
