panel,scenario,year,k,candidate_ids,links,candidate_id,link,region,construction_cost_10k_cny_per_km,capacity_10kt_y_per_link,metric,value,x_value,unit,source_type,style,marker,capacity_relaxation_gain_mt_y,connector_gain_mt_y,capacity_reaches_connector
a,S2,2060,,,,,,CC,,,connector_gain_2060_pp,0.0,99.99996875558298,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S2,2025,,,,,,NC,,,baseline_demand_satisfaction_pct,99.99968559008904,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2030,,,,,,NC,,,baseline_demand_satisfaction_pct,99.99997353849815,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2035,,,,,,NC,,,baseline_demand_satisfaction_pct,99.99994011700178,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2040,,,,,,NC,,,baseline_demand_satisfaction_pct,99.57301105199431,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2045,,,,,,NC,,,baseline_demand_satisfaction_pct,97.07504646727251,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2050,,,,,,NC,,,baseline_demand_satisfaction_pct,94.94371159953836,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2055,,,,,,NC,,,baseline_demand_satisfaction_pct,93.46570668429244,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,NC,,,baseline_demand_satisfaction_pct,92.37853201396248,92.37853201396248,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,NC,,,connector_gain_2060_pp,0.0,92.37853201396248,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S2,2025,,,,,,SC,,,baseline_demand_satisfaction_pct,100.0,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2030,,,,,,SC,,,baseline_demand_satisfaction_pct,60.819842161704926,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2035,,,,,,SC,,,baseline_demand_satisfaction_pct,52.01577446263753,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2040,,,,,,SC,,,baseline_demand_satisfaction_pct,48.70007561670487,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2045,,,,,,SC,,,baseline_demand_satisfaction_pct,45.76814716007113,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2050,,,,,,SC,,,baseline_demand_satisfaction_pct,42.86315856032353,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2055,,,,,,SC,,,baseline_demand_satisfaction_pct,35.796540507233274,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,SC,,,baseline_demand_satisfaction_pct,28.84929325553201,76.33575174632615,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,SC,,,connector_gain_2060_pp,47.48645849079414,76.33575174632615,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S2,2025,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2030,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2035,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2040,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2045,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2050,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2055,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,NW,,,connector_gain_2060_pp,1.4210854715202004e-14,100.0,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S2,2025,,,,,,SW,,,baseline_demand_satisfaction_pct,100.0,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2030,,,,,,SW,,,baseline_demand_satisfaction_pct,100.0,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2035,,,,,,SW,,,baseline_demand_satisfaction_pct,100.0,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2040,,,,,,SW,,,baseline_demand_satisfaction_pct,100.0,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2045,,,,,,SW,,,baseline_demand_satisfaction_pct,100.0,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2050,,,,,,SW,,,baseline_demand_satisfaction_pct,94.10461130680284,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2055,,,,,,SW,,,baseline_demand_satisfaction_pct,84.99521354586945,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,SW,,,baseline_demand_satisfaction_pct,80.63078286785782,80.63078286785783,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,SW,,,connector_gain_2060_pp,1.4210854715202004e-14,80.63078286785783,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S3,2025,,,,,,NE,,,baseline_demand_satisfaction_pct,nan,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2030,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2035,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2040,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2045,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2050,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2055,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,NE,,,connector_gain_2060_pp,1.4210854715202004e-14,100.0,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S3,2025,,,,,,EC,,,baseline_demand_satisfaction_pct,nan,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2030,,,,,,EC,,,baseline_demand_satisfaction_pct,75.02455070829687,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2035,,,,,,EC,,,baseline_demand_satisfaction_pct,74.3874351024608,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2040,,,,,,EC,,,baseline_demand_satisfaction_pct,74.44144361063563,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2045,,,,,,EC,,,baseline_demand_satisfaction_pct,74.37322299996629,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2050,,,,,,EC,,,baseline_demand_satisfaction_pct,74.1253198648698,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2055,,,,,,EC,,,baseline_demand_satisfaction_pct,71.7469160769081,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,EC,,,baseline_demand_satisfaction_pct,69.2300409154103,69.2300409154103,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,EC,,,connector_gain_2060_pp,0.0,69.2300409154103,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S3,2025,,,,,,CC,,,baseline_demand_satisfaction_pct,nan,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2030,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2035,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2040,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2045,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2050,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2055,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,CC,,,connector_gain_2060_pp,0.0,100.0,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S3,2025,,,,,,NC,,,baseline_demand_satisfaction_pct,nan,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2030,,,,,,NC,,,baseline_demand_satisfaction_pct,99.99994747042363,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2035,,,,,,NC,,,baseline_demand_satisfaction_pct,99.99990485285478,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2040,,,,,,NC,,,baseline_demand_satisfaction_pct,99.9998947635227,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2045,,,,,,NC,,,baseline_demand_satisfaction_pct,99.99986285031832,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
