scenario,tier,year,province_key,supply_10kt
low,low,2050,内蒙古,736.4753831125
low,low,2050,北京,0.4606918887387
low,low,2050,吉林,96.13891714725
low,low,2050,四川,15.94271150492
low,low,2050,天津,8.861786991629
low,low,2050,宁夏,130.5074687604
low,low,2050,安徽,16.50126615215
low,low,2050,山东,120.3648314963
low,low,2050,山西,130.8522634523
low,low,2050,广东,20.65702379096
low,low,2050,广西,56.09193497883
low,low,2050,新疆,624.6708205094
low,low,2050,江苏,36.36745341177
low,low,2050,江西,25.17073024979
low,low,2050,河北,326.7423804167
low,low,2050,河南,81.32402361887
low,low,2050,浙江,2.603157339769
low,low,2050,海南,8.248903070857
low,low,2050,湖北,35.98888460404
low,low,2050,湖南,58.37338194879
low,low,2050,甘肃,237.5949154257
low,low,2050,福建,0
low,low,2050,西藏,41.21884418766
low,low,2050,贵州,32.62922250477
low,low,2050,辽宁,101.9573130934
low,low,2050,重庆,0
low,low,2050,陕西,95.88708143331
low,low,2050,青海,283.5865606799
low,low,2050,黑龙江,82.0718002653
low,low,2055,上海,0
low,low,2055,云南,159.952172751
low,low,2055,内蒙古,848.3084365
low,low,2055,北京,0.5346865325651
low,low,2055,吉林,111.8784471856
low,low,2055,四川,18.13826535905
low,low,2055,天津,9.96175640414
low,low,2055,宁夏,146.263172491
low,low,2055,安徽,18.59064478017
low,low,2055,山东,138.0616897265
low,low,2055,山西,151.384535565
low,low,2055,广东,23.94691680578
low,low,2055,广西,64.58842858539
low,low,2055,新疆,704.7414428829
low,low,2055,江苏,42.13838189803
low,low,2055,江西,29.05031020191
low,low,2055,河北,374.7267654862
low,low,2055,河南,94.67550594512
low,low,2055,浙江,3.042625863663
low,low,2055,海南,9.342681966693
low,low,2055,湖北,40.26935999378
low,low,2055,湖南,67.78666050541
low,low,2055,甘肃,269.0153553981
low,low,2055,福建,0
low,low,2055,西藏,45.73866110188
low,low,2055,贵州,36.10378879744
low,low,2055,辽宁,118.4800907762
low,low,2055,重庆,0
low,low,2055,陕西,107.7346032842
low,low,2055,青海,313.9414996287
low,low,2055,黑龙江,94.93644691674
low,low,2060,上海,0
low,low,2060,云南,176.2417165857
low,low,2060,内蒙古,960.1414898874
low,low,2060,北京,0.6086811763915
low,low,2060,吉林,127.617977224
low,low,2060,四川,20.33381921317
low,low,2060,天津,11.06172581665
low,low,2060,宁夏,162.0188762217
low,low,2060,安徽,20.6800234082
low,low,2060,山东,155.7585479566
low,low,2060,山西,171.9168076777
low,low,2060,广东,27.23680982061
low,low,2060,广西,73.08492219195
low,low,2060,新疆,784.8120652565
low,low,2060,江苏,47.90931038429
low,low,2060,江西,32.92989015402
low,low,2060,河北,422.7111505558
low,low,2060,河南,108.0269882714
low,low,2060,浙江,3.482094387557
low,low,2060,海南,10.43646086253
low,low,2060,湖北,44.54983538352
low,low,2060,湖南,77.19993906203
low,low,2060,甘肃,300.4357953706
low,low,2060,福建,0
low,low,2060,西藏,50.25847801611
low,low,2060,贵州,39.5783550901
low,low,2060,辽宁,135.0028684591
low,low,2060,重庆,0
low,low,2060,陕西,119.582125135
low,low,2060,青海,344.2964385775
low,low,2060,黑龙江,107.8010935682
base,mid,2025,上海,0
base,mid,2025,云南,55.42463688618
base,mid,2025,内蒙古,249.9712308819
base,mid,2025,北京,0.1514952466769
base,mid,2025,吉林,31.25517412693
base,mid,2025,四川,5.682936472736
base,mid,2025,天津,3.304104513969
base,mid,2025,宁夏,49.19439301438
base,mid,2025,安徽,6.102839052569
base,mid,2025,山东,41.55364391617
base,mid,2025,山西,43.61439242789
base,mid,2025,广东,6.826635729473
base,mid,2025,广西,19.06381496691
base,mid,2025,新疆,229.8525943639
