scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S2,high,2055,EC,1358.595821167,392.7982123104,384.317,777.1152123104,581.4806088563,57.19988242294,49.45431435545
S2,high,2055,NC,443.4622802397,232.5993938977,0,232.5993938977,210.862886342,52.4507729884,0
S2,high,2055,NE,20.71603048993,20.71603048993,0,20.71603048993,0,100,0
S2,high,2055,NW,100.6829864766,100.6829864766,0,100.6829864766,0,100,0
S2,high,2055,SC,632.6936116036,236.0942543764,0,236.0942543764,396.5993572272,37.31573229861,0
S2,high,2055,SW,419.6882709493,363.6347016076,5.815,369.4497016076,50.23856934161,88.02955126004,1.573962565052
S2,high,2060,CC,1016.532494255,612.7380339118,403.792,1016.530033912,0.00246034289998,99.99975796712,39.7225843339
S2,high,2060,EC,1727.312244119,464.7028869926,500.709,965.4118869925,761.9003571263,55.89098845791,51.86480576284
S2,high,2060,NC,563.815826995,291.2598382364,0,291.2598382364,272.5559887587,51.65868432405,0
S2,high,2060,NE,26.33826231268,26.33826231268,0,26.33826231268,0,100,0
S2,high,2060,NW,128.0078685699,128.0078685699,0,128.0078685699,0,100,0
S2,high,2060,SC,804.4036387217,267.5246187001,0,267.5246187001,536.8790200215,33.25750976528,0
S2,high,2060,SW,533.5896650272,438.1876523868,14.666,452.8536523868,80.73601264043,84.86926979061,3.238573857736
S2,low,2025,CC,1.694220823758,1.694220823758,0,1.694220823758,0,100,0
S2,low,2025,EC,2.878853740198,2.455186704272,0,2.455186704272,0.423667035926,85.2834817549,0
S2,low,2025,NC,0.9396930449916,0.6953062878451,0,0.6953062878451,0.2443867571465,73.99291625611,0
S2,low,2025,NE,0.04389710385447,0.04389710385447,0,0.04389710385447,0,100,0
S2,low,2025,NW,0.2133464476164,0.2133464476164,0,0.2133464476164,0,100,0
S2,low,2025,SC,1.340672731203,1.340672731203,0,1.340672731203,0,100,0
S2,low,2025,SW,0.8893161083786,0.8893161083786,0,0.8893161083786,0,100,0
S2,low,2030,CC,16.94220823758,16.94220823758,0,16.94220823758,0,100,0
S2,low,2030,EC,28.78853740198,19.44994802963,0,19.44994802963,9.338589372348,67.5614316839,0
S2,low,2030,NC,9.396930449916,5.605843394805,0,5.605843394805,3.791087055111,59.65611243675,0
S2,low,2030,NE,0.4389710385447,0.4389710385447,0,0.4389710385447,0,100,0
S2,low,2030,NW,2.133464476164,2.133464476164,0,2.133464476164,0,100,0
S2,low,2030,SC,13.40672731203,11.86243924299,0,11.86243924299,1.544288069036,88.48124502651,0
S2,low,2030,SW,8.893161083786,8.893161083786,0,8.893161083786,0,100,0
S2,low,2035,CC,43.32245444445,43.32245444445,0,43.32245444445,0,100,0
S2,low,2035,EC,73.61437674657,46.81282692278,1.895,48.70782692278,24.90654982379,66.16618801306,3.890545154076
S2,low,2035,NC,24.02863225534,14.14435043729,0,14.14435043729,9.88428181805,58.86456743349,0
S2,low,2035,NE,1.122480762432,1.122480762432,0,1.122480762432,0,100,0
S2,low,2035,NW,5.455423300281,5.455423300281,0,5.455423300281,0,100,0
S2,low,2035,SC,34.28197346414,21.74241320346,0,21.74241320346,12.53956026068,63.42229167817,0
S2,low,2035,SW,22.74045747266,22.74045747266,0,22.74045747266,0,100,0
S2,low,2040,CC,80.55948075336,80.55948075336,0,80.55948075336,0,100,0
S2,low,2040,EC,136.8882728999,70.92119044439,17.891,88.81219044439,48.07608245548,64.879327179,20.14475705472
S2,low,2040,NC,44.68200526786,26.17068669036,0,26.17068669036,18.51131857749,58.57097624307,0
S2,low,2040,NE,2.08728864827,2.08728864827,0,2.08728864827,0,100,0
S2,low,2040,NW,10.14453299094,10.14453299094,0,10.14453299094,0,100,0
S2,low,2040,SC,63.74841907935,34.4485356905,0,34.4485356905,29.29988338885,54.03825881175,0
S2,low,2040,SW,42.28660332345,42.28660332345,0,42.28660332345,0,100,0
S2,low,2045,CC,128.6917260514,128.6917260514,0,128.6917260514,0,100,0
S2,low,2045,EC,218.6755419839,91.84595801371,42.915,134.7609580137,83.91458397017,61.6259856,31.84527672743
S2,low,2045,NC,71.37836946794,41.08175140579,0,41.08175140579,30.29661806215,57.55490313385,0
S2,low,2045,NE,3.334390644048,3.334390644048,0,3.334390644048,0,100,0
S2,low,2045,NW,16.20563400337,16.20563400337,0,16.20563400337,0,100,0
S2,low,2045,SC,101.8364816611,49.90976223176,0,49.90976223176,51.92671942937,49.00970793339,0
S2,low,2045,SW,67.55177565267,67.55177565267,0,67.55177565267,0,100,0
S2,low,2050,CC,187.7576292257,167.0557392066,20.701,187.7567392066,0.0008900190800034,99.99952597448,11.02543647034
S2,low,2050,EC,319.0415001205,114.7573219276,75.41,190.1673219276,128.8741781929,59.60582615608,39.65455223096
S2,low,2050,NC,104.1390448361,57.37115001911,0,57.37115001911,46.76789481695,55.09091245212,0
S2,low,2050,NE,4.864782697753,4.864782697753,0,4.864782697753,0,100,0
S2,low,2050,NW,23.64356679276,23.64356679276,0,23.64356679276,0,100,0
S2,low,2050,SC,148.576578713,68.13581297461,0,68.13581297461,80.44076573834,45.85905367107,0
S2,low,2050,SW,98.55615147679,96.77904488364,1.777,98.55604488364,0.0001065931500008,99.99989184526,1.803035016369
S2,low,2055,CC,257.7956291634,202.7315264443,55.063,257.7945264443,0.001102719070019,99.99957225066,21.35925877072
S2,low,2055,EC,438.0514634318,139.6622663586,115.401,255.0632663585,182.9881970732,58.22678101799,45.24406891182
S2,low,2055,NC,142.9853513527,76.46839548937,0,76.46839548937,66.51695586334,53.47988081712,0
S2,low,2055,NE,6.679460757373,6.679460757373,0,6.679460757373,0,100,0
S2,low,2055,NW,32.46317181432,32.46317181432,0,32.46317181432,0,100,0
S2,low,2055,SC,203.9991277383,88.53534539117,0,88.53534539117,115.4637823471,43.39986468215,0
S2,low,2055,SW,135.3199078123,124.182999688,0,124.182999688,11.13690812433,91.76994109413,0
S2,low,2060,CC,338.8441647515,229.776762717,109.066,338.842762717,0.001402034579996,99.99958623027,32.18779091679
S2,low,2060,EC,575.7707480396,166.5677754791,162.914,329.4817754791,246.2889725605,57.22447286545,49.44552692273
S2,low,2060,NC,187.9386089983,98.38332463357,0,98.38332463357,89.55528436476,52.3486499969,0
S2,low,2060,NE,8.779420770894,8.779420770894,0,8.779420770894,0,100,0
S2,low,2060,NW,42.6692895233,42.6692895233,0,42.6692895233,0,100,0
S2,low,2060,SC,268.1345462405,100.3217320126,0,100.3217320126,167.812814228,37.41469848595,0
S2,low,2060,SW,177.8632216757,152.7194590515,2.629,155.3484590515,22.51476262425,87.34152996211,1.692324478821
S2,mid,2025,CC,8.471104118789,8.471104118789,0,8.471104118789,0,100,0
S2,mid,2025,EC,14.39426870099,10.10320741212,0,10.10320741212,4.29106128887,70.1890983279,0
S2,mid,2025,NC,4.698465224958,2.870550452518,0,2.870550452518,1.82791477244,61.09549214645,0
S2,mid,2025,NE,0.2194855192724,0.2194855192724,0,0.2194855192724,0,100,0
S2,mid,2025,NW,1.066732238082,1.066732238082,0,1.066732238082,0,100,0
S2,mid,2025,SC,6.703363656014,6.703363656014,0,6.703363656014,0,100,0
S2,mid,2025,SW,4.446580541894,4.446580541894,0,4.446580541894,0,100,0
S2,mid,2030,CC,50.82662471273,50.82662471273,0,50.82662471273,0,100,0
S2,mid,2030,EC,86.36561220594,53.75567679407,3.266,57.02167679407,29.34393541187,66.0235889466,5.727646368231
S2,mid,2030,NC,28.19079134975,16.57128389004,0,16.57128389004,11.6195074597,58.78261338766,0
S2,mid,2030,NE,1.316913115634,1.316913115634,0,1.316913115634,0,100,0
S2,mid,2030,NW,6.400393428494,6.400393428494,0,6.400393428494,0,100,0
S2,mid,2030,SC,40.22018193609,24.46185117068,0,24.46185117068,15.75833076541,60.8198421617,0
S2,mid,2030,SW,26.67948325137,26.67948325137,0,26.67948325137,0,100,0
S2,mid,2035,CC,113.3819054503,113.3819054503,0,113.3819054503,0,100,0
S2,mid,2035,EC,192.6607901398,94.18716609098,28.598,122.785166091,69.87562404883,63.73126882843,23.29108711618
S2,mid,2035,NC,62.88683652423,36.79159886571,0,36.79159886571,26.09523765853,58.5044516455,0
