scenario,tier,year,province_key,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt
S1,low,2025,广西,0.2754441534374021,19.0638149669101,0.2754441534374021,0.0,0.2754441534374021,0.0
S1,low,2025,新疆,0.0,229.8525943638816,0.0,0.0,0.0,0.0
S1,low,2025,江苏,0.3446384841579757,12.04392863903945,0.3446384841579757,0.0,0.3446384841579757,0.0
S1,low,2025,江西,0.0,8.47408276095615,0.0,0.0,0.0,0.0
S1,low,2025,河北,0.821811030322514,112.86846262152604,0.821811030322514,0.0,0.821811030322514,0.0
S1,low,2025,河南,0.0,26.3936929625327,0.0,0.0,0.0,0.0
S1,low,2025,浙江,1.007836388907274,0.83027255961612,0.83027255961612,0.0,0.83027255961612,0.17756382929115389
S1,low,2025,海南,0.136811550353148,2.99131734912404,0.136811550353148,0.0,0.136811550353148,0.0
S1,low,2025,湖北,0.0,13.643483427914948,0.0,0.0,0.0,0.0
S1,low,2025,湖南,0.0,19.15037681832203,0.0,0.0,0.0,0.0
S1,low,2025,甘肃,0.0,86.26073717586893,0.0,0.0,0.0,0.0
S1,low,2025,福建,0.428951523689759,0.0,0.0,0.0,0.0,0.428951523689759
S1,low,2025,西藏,0.0,16.08768591622142,0.0,0.0,0.0,0.0
S1,low,2025,贵州,0.0,12.85981034488933,0.0,0.0,0.0,0.0
S1,low,2025,辽宁,0.4159942512977126,33.350946202085005,0.4159942512977126,0.0,0.4159942512977126,0.0
S1,low,2025,陕西,0.0,35.81703858149506,0.0,0.0,0.0,0.0
S1,low,2025,青海,0.0,111.57782805580293,0.0,0.0,0.0,0.0
S1,low,2025,黑龙江,0.0,27.37151708562854,0.0,0.0,0.0,0.0
S1,low,2030,上海,4.603859572818471,0.0,0.0,0.0,0.0,4.603859572818471
S1,low,2030,云南,0.0,66.18913858822233,0.0,0.0,0.0,0.0
S1,low,2030,内蒙古,0.0,281.35458263500846,0.0,0.0,0.0,0.0
S1,low,2030,北京,0.0,0.1677329831227099,0.0,0.0,0.0,0.0
S1,low,2030,四川,0.0,6.551629217933449,0.0,0.0,0.0,0.0
S1,low,2030,天津,3.3746206140143524,3.88815961549153,3.3746206140143524,0.0,3.3746206140143524,0.0
S1,low,2030,宁夏,0.0,58.16843684760965,0.0,0.0,0.0,0.0
S1,low,2030,安徽,0.0,7.1558080139316695,0.0,0.0,0.0,0.0
S1,low,2030,山东,12.431379593997905,47.17042010765612,12.431379593997905,0.0,12.431379593997905,0.0
S1,low,2030,山西,0.0,48.63375276975188,0.0,0.0,0.0,0.0
S1,low,2030,广东,11.275266397511416,7.57821635130649,7.57821635130649,0.0,7.57821635130649,3.697050046204926
S1,low,2030,广西,2.754441534374021,21.4717087091158,2.754441534374021,0.0,2.754441534374021,0.0
S1,low,2030,新疆,0.0,268.8942957237807,0.0,0.0,0.0,0.0
S1,low,2030,江苏,3.4463848415797567,13.38480045052067,3.4463848415797567,0.0,3.4463848415797567,0.0
S1,low,2030,江西,0.0,9.49842705268783,0.0,0.0,0.0,0.0
S1,low,2030,河北,8.218110303225139,128.16240225239034,8.218110303225139,0.0,8.218110303225139,0.0
S1,low,2030,河南,0.0,29.0168163955705,0.0,0.0,0.0,0.0
S1,low,2030,浙江,10.07836388907274,0.90407832462392,0.90407832462392,0.0,0.90407832462392,9.17428556444882
S1,low,2030,海南,1.3681155035314807,3.47626134501463,1.3681155035314807,0.0,1.3681155035314807,0.0
S1,low,2030,湖北,0.0,16.172231250436962,0.0,0.0,0.0,0.0
S1,low,2030,湖南,0.0,21.17627068606221,0.0,0.0,0.0,0.0
S1,low,2030,甘肃,0.0,100.29918287336564,0.0,0.0,0.0,0.0
S1,low,2030,福建,4.28951523689759,0.0,0.0,0.0,0.0,4.28951523689759
S1,low,2030,西藏,0.0,19.30547044413631,0.0,0.0,0.0,0.0
S1,low,2030,贵州,0.0,15.4938863426582,0.0,0.0,0.0,0.0
S1,low,2030,辽宁,4.159942512977127,36.821258790819215,4.159942512977127,0.0,4.159942512977127,0.0
S1,low,2030,陕西,0.0,42.18244368257524,0.0,0.0,0.0,0.0
S1,low,2030,青海,0.0,134.33928110107908,0.0,0.0,0.0,0.0
S1,low,2030,黑龙江,0.0,30.5309606612371,0.0,0.0,0.0,0.0
S1,low,2035,上海,9.441022840205449,0.0,0.0,0.0,0.0,9.441022840205449
S1,low,2035,云南,0.0,94.79399741246571,0.0,0.0,0.0,0.0
S1,low,2035,内蒙古,0.0,400.97622295021387,0.0,0.0,0.0,0.0
S1,low,2035,北京,0.0,0.23870795725951,0.0,0.0,0.0,0.0
S1,low,2035,四川,0.0,9.35604994255636,0.0,0.0,0.0,0.0
S1,low,2035,天津,6.920252407792947,5.56187875409598,5.56187875409598,0.0,5.56187875409598,1.3583736536969662
S1,low,2035,宁夏,0.0,83.24035756837746,0.0,0.0,0.0,0.0
S1,low,2035,安徽,0.0,10.23313026806074,0.0,0.0,0.0,0.0
S1,low,2035,山东,25.49272774850246,67.27425680590302,25.49272774850246,0.0,25.49272774850246,0.0
S1,low,2035,山西,0.0,69.25544711427216,0.0,0.0,0.0,0.0
S1,low,2035,广东,23.12191453813997,10.787344746491929,10.787344746491929,0.0,10.787344746491929,12.33456979164804
S1,low,2035,广西,5.648466254611591,30.60245415915073,5.648466254611591,0.0,5.648466254611591,0.0
S1,low,2035,新疆,0.0,384.4589533887296,0.0,0.0,0.0,0.0
S1,low,2035,江苏,7.067417563644975,19.05466795299542,7.067417563644975,0.0,7.067417563644975,0.0
S1,low,2035,江西,0.0,13.53199039343474,0.0,0.0,0.0,0.0
S1,low,2035,河北,16.852678898843447,182.7892252080433,16.852678898843447,0.0,16.852678898843447,0.0
S1,low,2035,河南,0.0,41.26957664011674,0.0,0.0,0.0,0.0
S1,low,2035,浙江,20.66745567792957,1.28475176808761,1.28475176808761,0.0,1.28475176808761,19.38270390984196
