scenario,tier,year,sector,composition_share,component_demand_10kt,scenario_semantics
S3,low,2035,C,1,49.32142857143,single-sector dynamic demand
S3,low,2035,D,0,0,single-sector dynamic demand
S3,low,2040,A,0,0,single-sector dynamic demand
S3,low,2040,B,0,0,single-sector dynamic demand
S3,low,2040,C,1,70.58857142857,single-sector dynamic demand
S3,low,2040,D,0,0,single-sector dynamic demand
S3,low,2045,A,0,0,single-sector dynamic demand
S3,low,2045,B,0,0,single-sector dynamic demand
S3,low,2045,C,1,90.29571428571,single-sector dynamic demand
S3,low,2045,D,0,0,single-sector dynamic demand
S3,low,2050,A,0,0,single-sector dynamic demand
S3,low,2050,B,0,0,single-sector dynamic demand
S3,low,2050,C,1,107.9371428571,single-sector dynamic demand
S3,low,2050,D,0,0,single-sector dynamic demand
S3,low,2055,A,0,0,single-sector dynamic demand
S3,low,2055,B,0,0,single-sector dynamic demand
S3,low,2055,C,1,123.0071428571,single-sector dynamic demand
S3,low,2055,D,0,0,single-sector dynamic demand
S3,low,2060,A,0,0,single-sector dynamic demand
S3,low,2060,B,0,0,single-sector dynamic demand
S3,low,2060,C,1,135,single-sector dynamic demand
S3,low,2060,D,0,0,single-sector dynamic demand
S3,mid,2025,A,0,0,single-sector dynamic demand
S3,mid,2025,B,0,0,single-sector dynamic demand
S3,mid,2025,C,1,0,single-sector dynamic demand
S3,mid,2025,D,0,0,single-sector dynamic demand
S3,mid,2030,A,0,0,single-sector dynamic demand
S3,mid,2030,B,0,0,single-sector dynamic demand
S3,mid,2030,C,1,162,single-sector dynamic demand
S3,mid,2030,D,0,0,single-sector dynamic demand
S3,mid,2035,A,0,0,single-sector dynamic demand
S3,mid,2035,B,0,0,single-sector dynamic demand
S3,mid,2035,C,1,295.9285714286,single-sector dynamic demand
S3,mid,2035,D,0,0,single-sector dynamic demand
S3,mid,2040,A,0,0,single-sector dynamic demand
S3,mid,2040,B,0,0,single-sector dynamic demand
S3,mid,2040,C,1,423.5314285714,single-sector dynamic demand
S3,mid,2040,D,0,0,single-sector dynamic demand
S3,mid,2045,A,0,0,single-sector dynamic demand
S3,mid,2045,B,0,0,single-sector dynamic demand
S3,mid,2045,C,1,541.7742857143,single-sector dynamic demand
S3,mid,2045,D,0,0,single-sector dynamic demand
S3,mid,2050,A,0,0,single-sector dynamic demand
S3,mid,2050,B,0,0,single-sector dynamic demand
S3,mid,2050,C,1,647.6228571429,single-sector dynamic demand
S3,mid,2050,D,0,0,single-sector dynamic demand
S3,mid,2055,A,0,0,single-sector dynamic demand
