scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_tonne_km,edges_used,max_edge_util_pct,min_cost_objective,active_segments,capacity_factor,connector_count
S5,mid,2040,670.5899327797355,4635.6989247311785,461.312985675626,6.285,467.59798567562603,202.99194710410944,69.72934767113706,64877.956270048686,2,1.2086225068926268,6488790,101,1.0,0
S5,mid,2045,986.7842629688505,5525.161290322575,651.8714878204398,30.672,682.5434878204399,304.24077514841065,69.168460973114,280914.94024765847,2,5.754549688238626,28095552,114,1.0,0
S5,mid,2050,1354.55175000411,5924.5836516424615,849.1479557323958,71.686,920.8339557323958,433.7177942717143,67.98071433812711,742349.9021759799,3,12.495489921263728,74242838,121,1.0,0
S5,mid,2055,1776.9540791974268,6194.042553191487,1058.4987814522635,90.427,1148.9257814522634,628.0282977451634,64.65703277887651,1036430.1230812604,5,13.712667626112943,103648901,125,1.0,0
S5,mid,2060,2262.634482758621,6335.600907029496,1240.1553635271487,99.636,1339.7913635271486,922.8431192314722,59.2137781747967,2572692.286653026,4,7.796514842469771,257281374,132,1.0,0
S6,high,2025,52.114,1261.7190721006984,42.78513831297244,0.0,42.78513831297244,9.328861687027555,82.0991255957563,0.0,0,0.0,0,96,1.0,0
S6,high,2030,376.49,3873.0158730158746,270.4785655196234,0.0,270.4785655196234,106.01143448037664,71.84216460453753,0.0,0,0.0,0,97,1.0,0
S6,high,2035,777.6150354542859,5530.158730158732,534.7901240301857,9.706,544.4961240301857,233.11891142410025,70.02129578321345,283377.5068174133,3,0.9505530209230825,28337090,103,1.0,0
S6,high,2040,1248.347590529456,6843.174603174606,810.4604760040495,51.204,861.6644760040494,386.6831145254066,69.02440334254946,1019933.9783956284,3,7.101931233421098,101993977,101,1.0,0
S6,high,2045,1784.5604151522602,8156.19047619048,1115.0871477263534,102.065,1217.1521477263534,567.4082674259068,68.2045918642942,1855248.9449858665,3,14.614702564708017,185527630,114,1.0,0
S6,high,2050,2380.0989439217215,9469.206349206353,1445.0774318431631,161.709,1606.7864318431632,773.3125120785583,67.50922838508718,2865792.0118191945,4,23.071454811254185,286592406,121,1.0,0
S6,high,2055,3026.0773365642963,10782.222222222226,1791.7758807994358,230.799,2022.5748807994357,1003.5024557648605,66.83817549408032,4259306.912311393,5,30.234074905120785,425957144,125,1.0,0
S6,high,2060,3710.1,12095.2380952381,2138.735153817474,277.837,2416.572153817474,1293.527846182526,65.13496007701879,6272411.303276738,6,29.44482036141834,627278144,132,1.0,0
S6,low,2025,5.122,1261.7190721006984,4.712533355036983,0.0,4.712533355036983,0.4094666449630173,92.00572735331868,0.0,0,0.0,0,96,1.0,0
S6,low,2030,62.53,1452.3809523809548,50.71634612142689,0.0,50.71634612142689,11.813653878573113,81.10722232756578,0.0,0,0.0,0,97,1.0,0
S6,low,2035,149.88993654351236,2073.8095238095275,114.17498637813783,0.0,114.17498637813783,35.71495016537453,76.17254967947322,0.0,0,0.0,0,103,1.0,0
S6,low,2040,267.21042337882113,2566.190476190481,198.0595647022492,0.779,198.8385647022492,68.37185867657195,74.41272768778113,4976.702142704436,1,0.1311258877189569,497781,101,1.0,0
S6,low,2045,412.98395343477404,3058.571428571434,295.04527205983516,8.346,303.39127205983516,109.59268137493888,73.4632107462142,91077.00935218424,2,1.56584088739044,9109131,114,1.0,0
S6,low,2050,585.3695351212168,3550.952380952387,400.9682791725083,23.54,424.5082791725083,160.8612559487085,72.51970827019589,228399.00581922225,2,4.26641669683436,22843300,121,1.0,0
S6,low,2055,782.4173273088011,4043.3333333333408,516.2169887512085,42.116,558.3329887512085,224.08433855759256,71.35999795296559,394943.5378584366,2,7.167962141508909,39500131,125,1.0,0
S6,low,2060,1002.35,4535.7142857142935,641.8895479697824,63.787,705.6765479697824,296.6734520302176,70.40220960440789,588203.3681742378,2,10.06692763823848,58828865,132,1.0,0
S6,mid,2025,25.16,1261.7190721006984,21.198914439372825,0.0,21.198914439372825,3.9610855606271755,84.256416690671,0.0,0,0.0,0,96,1.0,0
S6,mid,2030,201.36,2224.9240121580538,147.23403433604554,0.0,147.23403433604554,54.125965663954474,73.11980251094832,0.0,0,0.0,0,97,1.0,0
S6,mid,2035,432.10156025058365,3460.045836516417,308.4844125577249,1.807,310.2914125577249,121.81014769285872,71.80983386817238,18013.967943247768,2,0.30589954993856544,1801722,103,1.0,0
S6,mid,2040,713.1023872235403,4635.6989247311785,490.06926217587517,17.229,507.29826217587515,205.80412504766514,71.13961070177282,167872.54225870475,2,3.3131833208039883,16789758,101,1.0,0
S6,mid,2045,1041.54635782982,5525.161290322575,685.7791198966006,46.44,732.2191198966007,309.3272379332193,70.30115504625854,525545.029764855,3,8.247962747598674,52559673,114,1.0,0
