scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_delivery_share_pct,pipeline_tonne_km,average_pipeline_distance_km,edges_used,max_edge_util_pct,min_cost_objective
S4,low,2060,420,4535.714285714,340.9720910339,6.333,347.3050910339,72.69490896612,82.6916883414,1.507857142857,4323898.270113,68.27567140554,1,0.9895859066592,432391908
S4,mid,2025,4.2,1261.719072101,3.970185092547,0,3.970185092547,0.2298149074537,94.5282164892,0,0,0,0,0,0
S4,mid,2030,126,2224.924012158,108.0445028995,0,108.0445028995,17.95549710054,85.74960547576,0,0,0,0,0,0
S4,mid,2035,292.5066965452,3460.045836516,238.8611386887,1.739,240.6001386887,51.90655785645,82.25457452102,0.5945163035716,1187313.925742,68.27567140552,1,0.294388111424,118731964
S4,mid,2040,505.0362478156,4635.698924731,396.1648173009,12.896,409.0608173009,95.97543051466,80.99632829727,2.553480083019,15733412.1883,122.0022657281,2,2.479935695925,1573349336
S4,mid,2045,738.155722728,5525.161290323,555.6880480485,35.627,591.3150480485,146.8406746795,80.10708714188,4.826488355104,38824570.68873,108.9751331539,2,6.684185633245,3882477260
S4,mid,2050,962.2677715767,5924.583651642,692.8068639503,64.226,757.0328639503,205.2349076264,78.67174671244,6.674441553287,67057778.80157,104.4090847968,2,11.64039417039,6705812868
S4,mid,2055,1146.141338127,6194.042553192,801.2440840935,88.531,889.7750840935,256.3662540331,77.63223037988,7.7242655033,90984605.61487,102.7714649274,2,15.06759560143,9098508092
S4,mid,2060,1260,6335.60090703,860.9286903571,110.391,971.3196903571,288.6803096429,77.08886431406,8.76119047619,135367268.937,122.62527646,4,16.3805564367,13536779597
S5,high,2025,66.36263157895,1261.719072101,50.99837337095,0,50.99837337095,15.364258208,76.84802750819,0,0,0,0,0,0
S5,high,2030,374.6352374398,3873.015873016,252.4518027769,3.786,256.2378027769,118.3974346629,68.39661013417,1.010582994241,19327472.59078,510.4984836445,1,0.631,1932745428
S5,high,2035,756.5973508203,5530.158730158,489.2921253778,14.739,504.0311253778,252.5662254425,66.61814567965,1.948063918545,75242371.50438,510.4984836446,1,2.4565,7524230022
S5,high,2040,1197.175883654,6843.174603174,757.7009099823,31.756,789.4569099823,407.7189736713,65.94326871779,2.652575986001,134572141.5288,423.7691822925,3,4.186166666667,13457205342
S5,high,2045,1696.71717,8156.190476191,1042.960158634,71.13,1114.090158634,582.6270113656,65.66151261582,4.192213131196,208686867.8584,293.3879767446,3,6.981368950478,20868689054
S5,high,2050,2252.10536181,9469.206349207,1358.948848231,118.215,1477.163848231,774.941513579,65.59035262204,5.249088342163,289768373.4707,245.1198016078,4,13.86730419392,28976858928
S5,high,2055,2856.920323609,10782.22222222,1696.171452878,174.015,1870.186452878,986.7338707315,65.46162444303,6.090999408068,386428406.1664,222.0661472668,4,21.27156929272,38642894188
S5,high,2060,3503.159144893,12095.23809524,2052.70224528,240.402,2293.10424528,1210.054899613,65.45818075731,6.862434450072,655850759.9308,272.8141862093,9,29.01175955844,65585177021
S5,low,2025,7.367123287671,1261.719072101,6.667521295142,0,6.667521295142,0.6996019925291,90.50372899691,0,0,0,0,0,0
S5,low,2030,61.62325581395,1452.380952381,48.80341612353,0,48.80341612353,12.81983969043,79.19642589296,0,0,0,0,0,0
S5,low,2035,148.5358970646,2073.809523809,111.5235458079,0,111.5235458079,37.01235125677,75.08188122319,0,0,0,0,0,0
S5,low,2040,269.6934485997,2566.190476191,198.5523137462,0.242,198.7943137462,70.8991348535,73.71121351978,0.08973150859115,165227.1248014,68.27567140554,1,0.04073487140948,16522792
S5,low,2045,426.3285136328,3058.571428571,300.3297358897,9.611,309.9407358897,116.3877777431,72.69997806354,2.254364813206,10844097.50783,112.8300645909,2,1.80317478657,1084415376
S5,low,2050,619.9040761419,3550.952380952,417.2746550364,27.802,445.0766550364,174.8274211055,71.79766550439,4.484887431783,28720407.18492,103.3033853137,2,5.038866482812,2872055716
S5,low,2055,853.6060659087,4043.333333333,549.515315683,51.364,600.879315683,252.7267502257,70.3930465915,6.017295571268,51692239.18842,100.6390452232,2,8.74193198396,5169250968
S5,low,2060,1133.294849023,4535.714285714,700.8879422726,84.387,785.2749422726,348.0199067505,69.29131840222,7.446164612214,96070474.6429,113.8451119757,3,12.78902411408,9607088264
S5,mid,2025,32.78470254957,1261.719072101,26.86761200735,0,26.86761200735,5.917090542225,81.95167232865,0,0,0,0,0,0
S5,mid,2030,191.3553719008,2224.924012158,135.5972617116,0,135.5972617116,55.75811018919,70.86148685803,0,0,0,0,0,0
S5,mid,2035,405.6685495027,3460.045836516,284.3406348472,0,284.3406348472,121.3279146556,70.09186075571,0,0,0,0,0,0
S5,mid,2040,670.5899327798,4635.698924731,461.3129856756,6.285,467.5979856756,202.9919471041,69.72934767114,0.9372344696478,7096512.789801,112.911898008,2,1.208622506893,709654960
S5,mid,2045,986.7842629689,5525.161290323,651.8714878205,30.672,682.5434878205,304.2407751484,69.16846097311,3.108278187141,30816825.60235,100.4721752815,2,5.754549688239,3081698688
S5,mid,2050,1354.551750004,5924.583651642,849.1479557324,71.686,920.8339557324,433.7177942717,67.98071433813,5.292230437101,81156633.18301,113.2112730282,3,12.49548992126,8115697228
S5,mid,2055,1776.954079197,6194.042553192,1058.498781452,125.654,1184.152781452,592.8012977451,66.63947005244,7.071313855042,321977362.1876,256.2412356054,10,19.70815158373,32197799137
S5,mid,2060,2262.634482759,6335.60090703,1240.155363527,222.189,1462.344363527,800.2901192315,64.63016340776,9.819924592021,969937400.1945,436.5370923828,10,45.38097022015,96993865617
S6,high,2025,52.114,1261.719072101,42.78513831297,0,42.78513831297,9.328861687027,82.09912559576,0,0,0,0,0,0
S6,high,2030,376.49,3873.015873016,270.4785655196,0,270.4785655196,106.0114344804,71.84216460454,0,0,0,0,0,0
S6,high,2035,777.6150354543,5530.158730158,534.7901240302,9.706,544.4961240302,233.1189114241,70.02129578321,1.248175454109,30470162.92857,313.9312067646,3,0.9505530209231,3047016898
