scenario,tier,year,segment_id,from_node_id,to_node_id,flow_10kt,capacity_10kt,flow_to_capacity_pct,distance_km
S5,low,2060,S116,N053,N046,37.267,639.9646516167563,5.823290381093954,0.6388577846860636
S5,mid,2040,S115,N067,N053,6.285,520.0134834621572,1.2086225068926268,0.6109355782786213
S5,mid,2040,S116,N053,N046,4.145,594.0855871798838,0.6977109173235894,0.6388577846860636
S5,mid,2045,S115,N067,N053,30.672,533.0043471983331,5.754549688238626,0.6109355782786213
S5,mid,2045,S116,N053,N046,14.64,599.3703686137759,2.442563190746216,0.6388577846860636
S5,mid,2050,S051,N127,N109,2.742,600.0,0.45699999999999996,4.765304157752386
S5,mid,2050,S115,N067,N053,68.944,551.7510752633809,12.495489921263728,0.6109355782786213
S5,mid,2050,S116,N053,N046,29.816,607.2788165492509,4.909771127770252,0.6388577846860636
S5,mid,2055,S014,N133,N078,3.232,770.3517308641887,0.41954861273230465,4.206035336869822
S5,mid,2055,S034,N018,N057,1.971,687.1686941372941,0.28682913188798453,5.3727797621738445
S5,mid,2055,S051,N127,N109,4.654,600.0,0.7756666666666666,4.765304157752386
S5,mid,2055,S115,N067,N053,80.57,587.5589068210993,13.712667626112943,0.6109355782786213
S5,mid,2055,S116,N053,N046,12.614,618.6191010252712,2.0390576332179413,0.6388577846860636
S5,mid,2060,S014,N133,N078,20.39,972.968053464459,2.0956494848311906,4.206035336869822
S5,mid,2060,S032,N132,N133,39.176,691.8298716318395,5.662663843582587,2.0908149952548554
S5,mid,2060,S034,N018,N057,11.059,695.8883450140861,1.5891917258329917,5.3727797621738445
S5,mid,2060,S115,N067,N053,49.401,633.6292689510332,7.796514842469771,0.6109355782786213
S6,high,2035,S051,N127,N109,4.851,600.0,0.8085,4.765304157752386
S6,high,2035,S115,N067,N053,4.855,510.7553069775432,0.9505530209230825,0.6109355782786213
S6,high,2035,S116,N053,N046,3.53,590.7167893391488,0.5975790875944306,0.6388577846860636
S6,high,2040,S051,N127,N109,14.273,600.0,2.378833333333333,4.765304157752386
S6,high,2040,S115,N067,N053,36.931,520.0134834621572,7.101931233421098,0.6109355782786213
S6,high,2040,S116,N053,N046,17.869,594.0855871798838,3.0078157736200777,0.6388577846860636
S6,high,2045,S051,N127,N109,24.168,600.0,4.028,4.765304157752386
S6,high,2045,S115,N067,N053,77.897,533.0043471983331,14.614702564708017,0.6109355782786213
S6,high,2045,S116,N053,N046,35.637,599.3703686137759,5.945739373539815,0.6388577846860636
S6,high,2050,S034,N018,N057,14.113,679.0523626601046,2.078337515050246,5.3727797621738445
S6,high,2050,S051,N127,N109,20.299,600.0,3.3831666666666664,4.765304157752386
S6,high,2050,S115,N067,N053,127.297,551.7510752633809,23.071454811254185,0.6109355782786213
S6,high,2050,S116,N053,N046,56.745,607.2788165492509,9.344142830873457,0.6388577846860636
S6,high,2055,S014,N133,N078,8.265,770.3517308641887,1.072886535963025,4.206035336869822
S6,high,2055,S034,N018,N057,35.093,687.1686941372941,5.106897374604282,5.3727797621738445
S6,high,2055,S051,N127,N109,9.798,600.0,1.633,4.765304157752386
S6,high,2055,S115,N067,N053,177.643,587.5589068210993,30.234074905120785,0.6109355782786213
S6,high,2055,S116,N053,N046,74.198,618.6191010252712,11.994133365269128,0.6388577846860636
