panel,record_type,scenario,tier,year,metric,value,unit,source_boundary,variant
b,scenario_account,S8,mid,2060,quantity_shortage_pct,12.612401282351804,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S8,mid,2060,served_pct,44.62708017238907,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S8,mid,2060,spatial_network_gap_pct,42.76051854525912,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
c,gap_decomposition,S1,mid,2060,capacity_contribution_pct,-5.819623851048341e-15,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S1,mid,2060,direction_contribution_pct,46.937398613487446,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S1,mid,2060,topology_access_residual_pct,53.06260138651256,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S2,mid,2060,capacity_contribution_pct,0.1362007538854609,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S2,mid,2060,direction_contribution_pct,9.20742890152529,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S2,mid,2060,topology_access_residual_pct,90.65637034458923,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S3,mid,2060,capacity_contribution_pct,0.0,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S3,mid,2060,direction_contribution_pct,46.98004316486503,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S3,mid,2060,topology_access_residual_pct,53.01995683513498,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S4,mid,2060,capacity_contribution_pct,-2.09352133289503e-14,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S4,mid,2060,direction_contribution_pct,31.26933904268335,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S4,mid,2060,topology_access_residual_pct,68.73066095731667,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S5,mid,2060,capacity_contribution_pct,5.210561898948703,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S5,mid,2060,direction_contribution_pct,20.305650605053767,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S5,mid,2060,topology_access_residual_pct,74.48378749599753,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S6,mid,2060,capacity_contribution_pct,4.101225189453697,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S6,mid,2060,direction_contribution_pct,16.81939077018518,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S6,mid,2060,topology_access_residual_pct,79.07938404036112,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S7,mid,2060,capacity_contribution_pct,1.333102541041584,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S7,mid,2060,direction_contribution_pct,25.4140806442037,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S7,mid,2060,topology_access_residual_pct,73.25281681475472,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S8,mid,2060,capacity_contribution_pct,1.2535959716289726,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S8,mid,2060,direction_contribution_pct,22.66772614349868,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
c,gap_decomposition,S8,mid,2060,topology_access_residual_pct,76.07867788487235,%,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S5,mid,2060,capacity_relaxation_gain_10kt,0.0,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S5,mid,2060,direction_relaxation_gain_10kt,482.28459999999905,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S5,mid,2060,joint_relaxation_gain_10kt,815.2370999999989,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S6,mid,2060,capacity_relaxation_gain_10kt,28.473399999999856,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S6,mid,2060,direction_relaxation_gain_10kt,409.0871000000002,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S6,mid,2060,joint_relaxation_gain_10kt,626.0866000000001,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S7,mid,2060,capacity_relaxation_gain_10kt,0.0,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S7,mid,2060,direction_relaxation_gain_10kt,777.7376999999997,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S7,mid,2060,joint_relaxation_gain_10kt,863.8474999999999,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S8,mid,2060,capacity_relaxation_gain_10kt,0.0,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S8,mid,2060,direction_relaxation_gain_10kt,663.8674999999998,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
d,counterfactual_relaxation,S8,mid,2060,joint_relaxation_gain_10kt,741.5938999999998,10 kt/y,upstream_figure3_dynamic_v08_panel_c_aggregate,dynamic_v08
f,scenario_point,S1,mid,2060,scenario_served_pct,17.715898711683206,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S1,mid,2060,scenario_served_pct,86.52518968224842,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S1,mid,2060,scenario_served_pct,32.32139898989897,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
f,service_mode_account,S1-S8,mid,2060,local_service_pct,17.277961692496056,%,upstream_service_mode_summary_baseline_replay_pooled_aggregate,baseline
f,service_mode_account,S1-S8,mid,2060,local_service_pct,91.99788003392749,%,upstream_service_mode_summary_free_all_positive_city_support_pooled_aggregate,local_co_location
f,service_mode_account,S1-S8,mid,2060,local_service_pct,0.0,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_pooled_aggregate,strict_pipeline
f,service_mode_account,S1-S8,mid,2060,pipeline_service_pct,8.933534344827587,%,upstream_service_mode_summary_baseline_replay_pooled_aggregate,baseline
f,service_mode_account,S1-S8,mid,2060,pipeline_service_pct,0.0,%,upstream_service_mode_summary_free_all_positive_city_support_pooled_aggregate,local_co_location
f,service_mode_account,S1-S8,mid,2060,pipeline_service_pct,47.74776082758621,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_pooled_aggregate,strict_pipeline
f,service_mode_account,S1-S8,mid,2060,unserved_pct,73.78850396267636,%,upstream_service_mode_summary_baseline_replay_pooled_aggregate,baseline
f,service_mode_account,S1-S8,mid,2060,unserved_pct,8.002119966072504,%,upstream_service_mode_summary_free_all_positive_city_support_pooled_aggregate,local_co_location
f,service_mode_account,S1-S8,mid,2060,unserved_pct,52.25223917241379,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_pooled_aggregate,strict_pipeline
f,scenario_point,S2,mid,2060,scenario_served_pct,29.86470134352609,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S2,mid,2060,scenario_served_pct,94.7041620509249,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S2,mid,2060,scenario_served_pct,40.53210937500002,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
f,scenario_point,S3,mid,2060,scenario_served_pct,48.48755825180903,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S3,mid,2060,scenario_served_pct,91.32908910989269,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S3,mid,2060,scenario_served_pct,68.06208641975307,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
f,scenario_point,S4,mid,2060,scenario_served_pct,48.376882306853844,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S4,mid,2060,scenario_served_pct,94.52821648919698,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S4,mid,2060,scenario_served_pct,66.05630158730156,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
f,scenario_point,S5,mid,2060,scenario_served_pct,25.24185699747903,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S5,mid,2060,scenario_served_pct,92.06280125368451,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S5,mid,2060,scenario_served_pct,45.44767310344827,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
f,scenario_point,S6,mid,2060,scenario_served_pct,25.806211364117765,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S6,mid,2060,scenario_served_pct,92.71182305839795,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S6,mid,2060,scenario_served_pct,47.890849655172424,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
f,scenario_point,S7,mid,2060,scenario_served_pct,24.072787898618458,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S7,mid,2060,scenario_served_pct,91.38031027080469,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S7,mid,2060,scenario_served_pct,48.22844,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
f,scenario_point,S8,mid,2060,scenario_served_pct,24.091890458952292,%,upstream_service_mode_summary_baseline_replay_scenario_aggregate,baseline
f,scenario_point,S8,mid,2060,scenario_served_pct,91.77166433306577,%,upstream_service_mode_summary_free_all_positive_city_support_scenario_aggregate,local_co_location
f,scenario_point,S8,mid,2060,scenario_served_pct,51.37041379310346,%,upstream_service_mode_summary_free_all_positive_city_support_no_local_direct_scenario_aggregate,strict_pipeline
g,strict_pipeline_account,S1-S8,mid,2060,mapped_unserved_pp,13.946385539857495,percentage points,upstream_terminal_gap_account_pooled_aggregate; public_terminal_gap_aggregate_crosscheck,terminal_account
g,strict_pipeline_account,S1-S8,mid,2060,no_mapped_terminal_pp,38.30585363255629,percentage points,upstream_terminal_gap_account_pooled_aggregate; public_terminal_gap_aggregate_crosscheck,terminal_account
g,strict_pipeline_account,S1-S8,mid,2060,pipeline_service_pct,47.74776082758621,%,upstream_terminal_gap_account_pooled_aggregate; public_terminal_gap_aggregate_crosscheck,terminal_account
h,strict_quantity_placement_effect,S1-S8,mid,2060,A_quantity_improvement_pp,0.0,percentage points,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_effect
h,strict_quantity_placement_effect,S1-S8,mid,2060,baseline_quantity_improvement_pp,32.14244882758621,percentage points,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_effect
h,strict_quantity_placement_effect,S1-S8,mid,2060,constrained_placement_penalty_pp,5.109691034482755,percentage points,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_effect
h,strict_quantity_placement_effect,S1-S8,mid,2060,free_placement_penalty_pp,37.252139862068965,percentage points,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_effect
h,strict_quantity_placement_effect,S1-S8,mid,2060,interaction_effect_pp,32.14244882758621,percentage points,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_effect
h,strict_quantity_placement_2x2,S1-S8,mid,2060,unserved_pct,89.50437903448275,%,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_2x2:A_constrained
h,strict_quantity_placement_2x2,S1-S8,mid,2060,unserved_pct,89.50437903448275,%,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_2x2:A_free
h,strict_quantity_placement_2x2,S1-S8,mid,2060,unserved_pct,84.394688,%,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_2x2:baseline_constrained
h,strict_quantity_placement_2x2,S1-S8,mid,2060,unserved_pct,52.25223917241379,%,upstream_cross_2x2_demand_weighted_aggregate,strict_quantity_placement_2x2:baseline_free
