scenario,year,plan,region,demand_10kt,local_direct_10kt,pipeline_served_10kt,served_demand_10kt,unserved_demand_10kt,demand_satisfaction_pct,baseline_demand_satisfaction_pct,optimized_2060_demand_10kt,optimized_2060_served_demand_10kt,optimized_2060_demand_satisfaction_pct,connector_gain_2060_pp
S1,2055,baseline,华东,1045.4850940309939,280.7122174287177,200.2817,480.9939174287177,564.4911766022763,46.00676950583653,46.00676950583653,1045.4850940309939,481.1968071837886,46.026175784914955,0.019406279078424404
S1,2060,baseline,华东,1045.4850940309939,289.35231492233885,191.84449999999998,481.1968071837886,564.2882868472054,46.026175784914955,46.026175784914955,1045.4850940309939,481.1968071837886,46.026175784914955,0.0
S1,2025,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2030,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2035,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2040,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2045,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2050,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2055,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2060,baseline,华中,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2025,baseline,华北,347.7819275171848,116.17256713549513,26.5452,142.71776713549514,205.06416038168965,41.0365679879795,41.0365679879795,347.7819275171848,347.78190865017086,99.99999457504475,58.96342658706525
S1,2030,baseline,华北,347.7819275171848,202.29022243590376,44.7083,246.99852243590377,100.783405081281,71.02109192367362,71.02109192367362,347.7819275171848,347.78190865017086,99.99999457504475,28.97890265137113
S1,2035,baseline,华北,347.7819275171848,255.82302124262554,0.0,255.82302124262554,91.95890627455924,73.55845747044596,73.55845747044596,347.7819275171848,347.78190865017086,99.99999457504475,26.441537104598794
S1,2040,baseline,华北,347.7819275171848,258.5776154622376,0.0,258.5776154622376,89.20431205494718,74.35050386551804,74.35050386551804,347.7819275171848,347.78190865017086,99.99999457504475,25.649490709526717
S1,2045,baseline,华北,347.7819275171848,260.56465698161213,0.0,260.56465698161213,87.21727053557264,74.92185083962909,74.92185083962909,347.7819275171848,347.78190865017086,99.99999457504475,25.078143735415665
S1,2050,baseline,华北,347.7819275171848,261.3287504945518,0.0,261.3287504945518,86.45317702263297,75.14155561796375,75.14155561796375,347.7819275171848,347.78190865017086,99.99999457504475,24.858438957081006
