candidate_id,from_node_id,to_node_id,distance_km,capacity_10kt,candidate_types,from_name,to_name,from_province,to_province,from_component,to_component
C0734,N021,N005,521.406,364.35,closest_component_bridge_le_800km,北沙,东孚,广东省,福建省,13,6
C0735,N021,N123,523.991,364.35,closest_component_bridge_le_800km,北沙,衡阳,广东省,湖南省,13,1
C0736,N123,N021,523.991,364.35,closest_component_bridge_le_800km,衡阳,北沙,湖南省,广东省,1,13
C0737,N005,N134,530.302,364.35,closest_component_bridge_le_800km,东孚,郴州,福建省,湖南省,6,23
C0738,N134,N005,530.302,364.35,closest_component_bridge_le_800km,郴州,东孚,湖南省,福建省,23,6
C0739,N004,N145,533.524,364.35,closest_component_bridge_le_800km,上饶,阜阳,江西省,安徽省,24,12
C0740,N145,N004,533.524,364.35,closest_component_bridge_le_800km,阜阳,上饶,安徽省,江西省,12,24
C0741,N019,N035,538.594,364.35,closest_component_bridge_le_800km,兴闽,嘉兴(陈山,福建省,浙江省,6,7
C0742,N035,N019,538.594,364.35,closest_component_bridge_le_800km,嘉兴(陈山,兴闽,浙江省,福建省,7,6
C0743,N054,N124,538.743,364.35,closest_component_bridge_le_800km,徐州(新沂,襄阳,江苏省,湖北省,8,10
C0744,N124,N054,538.743,364.35,closest_component_bridge_le_800km,襄阳,徐州(新沂,湖北省,江苏省,10,8
C0745,N050,N112,538.914,364.35,closest_component_bridge_le_800km,广水,耒阳,湖北省,湖南省,18,23
C0746,N112,N050,538.914,364.35,closest_component_bridge_le_800km,耒阳,广水,湖南省,湖北省,23,18
C0747,N068,N034,539.185,364.35,reverse_existing_direction,柳园,哈密,甘肃省,新疆维吾尔自治区,1,1
C0748,N019,N045,539.77,364.35,closest_component_bridge_le_800km,兴闽,安庆,福建省,安徽省,6,4
C0749,N045,N019,539.77,364.35,closest_component_bridge_le_800km,安庆,兴闽,安徽省,福建省,4,6
C0750,N028,N054,548.275,364.35,closest_component_bridge_le_800km,南疆(天津,徐州(新沂,天津市,江苏省,14,8
C0751,N054,N028,548.275,364.35,closest_component_bridge_le_800km,徐州(新沂,南疆(天津,江苏省,天津市,8,14
C0752,N005,N081,552.373,364.35,closest_component_bridge_le_800km,东孚,江门,福建省,广东省,6,2
C0753,N081,N005,552.373,364.35,closest_component_bridge_le_800km,江门,东孚,广东省,福建省,2,6
C0754,N004,N112,556.653,364.35,closest_component_bridge_le_800km,上饶,耒阳,江西省,湖南省,24,23
C0755,N112,N004,556.653,364.35,closest_component_bridge_le_800km,耒阳,上饶,湖南省,江西省,23,24
C0756,N004,N050,567.328,364.35,closest_component_bridge_le_800km,上饶,广水,江西省,湖北省,24,18
C0757,N050,N004,567.328,364.35,closest_component_bridge_le_800km,广水,上饶,湖北省,江西省,18,24
C0758,N095,N134,568.614,364.35,closest_component_bridge_le_800km,湛江,郴州,广东省,湖南省,27,23
C0759,N134,N095,568.614,364.35,closest_component_bridge_le_800km,郴州,湛江,湖南省,广东省,23,27
C0760,N004,N118,590.683,364.35,closest_component_bridge_le_800km,上饶,荆州,江西省,湖北省,24,10
C0761,N118,N004,590.683,364.35,closest_component_bridge_le_800km,荆州,上饶,湖北省,江西省,10,24
C0762,N073,N118,594.742,364.35,closest_component_bridge_le_800km,桂林,荆州,广西壮族自治区,湖北省,2,10
C0763,N118,N073,594.742,364.35,closest_component_bridge_le_800km,荆州,桂林,湖北省,广西壮族自治区,10,2
C0764,N057,N018,597.291,364.35,reverse_existing_direction,成都,兰州,四川省,甘肃省,1,1
C0765,N045,N112,599.653,364.35,closest_component_bridge_le_800km,安庆,耒阳,安徽省,湖南省,4,23
C0766,N112,N045,599.653,364.35,closest_component_bridge_le_800km,耒阳,安庆,湖南省,安徽省,23,4
C0767,N011,N028,602.642,364.35,closest_component_bridge_le_800km,亳州,南疆(天津,安徽省,天津市,12,14
C0768,N028,N011,602.642,364.35,closest_component_bridge_le_800km,南疆(天津,亳州,天津市,安徽省,14,12
C0769,N005,N123,614.337,364.35,closest_component_bridge_le_800km,东孚,衡阳,福建省,湖南省,6,1
C0770,N123,N005,614.337,364.35,closest_component_bridge_le_800km,衡阳,东孚,湖南省,福建省,1,6
C0771,N141,N024,623.795,364.35,reverse_existing_direction,长坡,南宁,云南省,广西壮族自治区,2,2
C0772,N062,N080,624.353,364.35,closest_component_bridge_le_800km,昆东,江津,云南省,重庆市,20,1
C0773,N080,N062,624.353,364.35,closest_component_bridge_le_800km,江津,昆东,重庆市,云南省,1,20
C0774,N022,N124,629.05,364.35,closest_component_bridge_le_800km,南京(南京,襄阳,江苏省,湖北省,7,10
C0775,N124,N022,629.05,364.35,closest_component_bridge_le_800km,襄阳,南京(南京,湖北省,江苏省,10,7
C0776,N095,N123,664.631,364.35,closest_component_bridge_le_800km,湛江,衡阳,广东省,湖南省,27,1
C0777,N123,N095,664.631,364.35,closest_component_bridge_le_800km,衡阳,湛江,湖南省,广东省,1,27
