scenario,tier,year,pipeline_delivery_10kt,pipeline_tonne_km,average_pipeline_distance_km,unit_saving_vs_rail_cny_t,unit_saving_vs_road_cny_t,annual_cost_saving_vs_rail_100m_cny,annual_cost_saving_vs_road_100m_cny,annual_emission_saving_vs_rail_10kt_co2e,annual_emission_saving_vs_road_10kt_co2e,scope
S1,high,2025,4.1434,7844983.452142798,189.33685987698024,59.641110861248784,112.65543162680326,0.02471169787424982,0.04667765154024966,0.03265866611127047,0.07525692625640587,transport operation only; identical delivered task
S4,high,2035,41.1734,63852309.69247892,155.08145961343712,48.8506597782327,92.2734684699951,0.20113477553130862,0.3799212426702496,0.26581716524978977,0.6125352068799503,transport operation only; identical delivered task
S4,high,2040,77.4614,113965816.69481504,147.12594491555154,46.34467264839874,87.53993722475317,0.3589923225886674,0.6780966093341495,0.4744396949005151,1.0932740795533606,transport operation only; identical delivered task
S4,high,2045,127.3694,199789205.05783895,156.85808762374558,49.41029760147987,93.33056213612863,0.6293359959321928,1.188745770094142,0.8317224606557836,1.916577844119849,transport operation only; identical delivered task
S4,high,2050,207.971,459554687.2634093,220.9705618876715,69.60572699461653,131.47748432316456,1.4475972648797395,2.734350389217286,1.913126163077573,4.408508114917885,transport operation only; identical delivered task
S4,high,2055,277.4034,809349847.9290104,291.7591665888055,91.90413747547375,173.5967041203393,2.549452020976383,4.815631595177613,3.3693234169284705,7.764093091182997,transport operation only; identical delivered task
S4,high,2060,346.1174,1274133351.191803,368.12172724971447,115.95834408366008,219.03242771358015,4.01352005625418,7.581093439591229,5.304217141011476,12.222761237982967,transport operation only; identical delivered task
S4,low,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transport operation only; identical delivered task
S4,low,2030,1.744,4075144.719128184,233.6665549958821,73.60496482370287,139.03160022254988,0.012836705865253782,0.024247111078812698,0.016964827465730633,0.03909286329059667,transport operation only; identical delivered task
S4,low,2035,4.4296,10751685.492694808,242.7236204780298,76.4579404505794,144.42055418442774,0.03386780930198865,0.06397252868153412,0.04475926670608849,0.1031409189314213,transport operation only; identical delivered task
S4,low,2040,7.8858,19367831.841084093,245.60389359461428,77.36522648230351,146.1343166887955,0.0610086702994149,0.11523859945445036,0.08062828395443308,0.18579561085151972,transport operation only; identical delivered task
S4,low,2045,11.6797,28903516.943050973,247.4679738610664,77.95241176623594,147.24344444733453,0.09104607837061059,0.1719759258111533,0.12032534103392122,0.277271438034688,transport operation only; identical delivered task
S4,low,2050,15.252,37970087.6735706,248.95153208477967,78.41973260670561,148.12616159044393,0.11960577617174743,0.22592202165774514,0.15806947498507443,0.36424705105256283,transport operation only; identical delivered task
S4,low,2055,17.9359,44785510.60490419,249.69759312275488,78.6547418336678,148.57006790803916,0.1410743584054482,0.26647378809918,0.18644208064821616,0.4296274032328459,transport operation only; identical delivered task
S4,low,2060,19.1597,47880228.96894868,249.90072375323555,78.71872798226921,148.69093063317518,0.15082272125218837,0.28488736236524465,0.19932539319773335,0.4593150364991247,transport operation only; identical delivered task
S4,mid,2025,0.14,89005.75725828308,63.57554089877362,20.026295383113695,37.827446834770306,0.0002803681353635918,0.0005295842556867844,0.00037053096746623244,0.0008538322293787096,transport operation only; identical delivered task
S4,mid,2030,5.746,14356151.046214435,249.84599801974304,78.70148937621907,148.65836882174713,0.04522187579557548,0.0854190987249759,0.05976465680539069,0.1377185569863351,transport operation only; identical delivered task
S4,mid,2035,9.7907,26130110.2268502,266.8870481870571,84.069420178923,158.797793671299,0.08230984721457815,0.1554741558497587,0.1087796488743774,0.250666147406174,transport operation only; identical delivered task
S4,mid,2040,19.5512,43316267.37344621,221.55298587015736,69.78919054909959,131.82402659274365,0.1364462422263556,0.257731790872005,0.18032562107565658,0.41553295291346953,transport operation only; identical delivered task
S4,mid,2045,45.4793,79664286.11525321,175.16603403142355,55.177300719898426,104.22379024869703,0.2509425012630476,0.4740025023857567,0.3316424230977991,0.7642194967036241,transport operation only; identical delivered task
