管段ID,管道名称,起点节点,终点节点,起点节点ID,终点节点ID,起点经度_WGS84,起点纬度_WGS84,终点经度_WGS84,终点纬度_WGS84,设计输量_万吨年,投产年份,管段方向,坐标说明
S045,西南成品油管网（北线）,湛江,茂名,N095,N117,110.3828201,21.26187491,110.9216638,21.66642469,500.0,2006,湛江 → 茂名,节点坐标为城市点位或别名映射后的地级市点位
S046,西南成品油管网（北线）,茂名,柳州,N117,N069,110.9216638,21.66642469,109.4257429,24.32828748,800.0,2005,茂名 → 柳州,节点坐标为城市点位或别名映射后的地级市点位
S047,西南成品油管网（北线）,柳州,贵阳,N069,N127,109.4257429,24.32828748,106.6930042,26.73530793,800.0,2005,柳州 → 贵阳,节点坐标为城市点位或别名映射后的地级市点位
S048,西南成品油管网（北线）,贵阳,曲靖,N127,N066,106.6930042,26.73530793,103.7914451,25.49347973,800.0,2005,贵阳 → 曲靖,节点坐标为城市点位或别名映射后的地级市点位
S049,西南成品油管网（北线）,江津,重庆,N080,N137,106.5467371,29.56659842,106.5467371,29.56659842,800.0,2005,江津 → 重庆,节点坐标为城市点位或别名映射后的地级市点位
S050,西南成品油管网（北线）,柳州,柳库,N069,N070,109.4257429,24.32828748,109.4257429,24.32828748,500.0,2006,柳州 → 柳库,节点坐标为城市点位或别名映射后的地级市点位
S051,西南成品油管网（北线）,贵阳,简阳,N127,N109,106.6930042,26.73530793,104.0385743,30.69284828,600.0,2016,贵阳 → 简阳,节点坐标为城市点位或别名映射后的地级市点位
S052,西南成品油管网（北线）,柳州,桂林,N069,N073,109.4257429,24.32828748,110.2833245,25.27690019,600.0,2016,柳州 → 桂林,节点坐标为城市点位或别名映射后的地级市点位
S053,西南成品油管网（南线）,东海岛,南宁,N006,N024,110.3828201,21.26187491,108.3621636,22.82027814,800.0,2012,东海岛 → 南宁,节点坐标为城市点位或别名映射后的地级市点位
S054,西南成品油管网（南线）,南宁,长坡,N024,N141,108.3621636,22.82027814,102.7432509,25.08100417,800.0,2012,南宁 → 长坡,节点坐标为城市点位或别名映射后的地级市点位
S055,西南成品油管网（南线）,长坡,大理,N141,N038,102.7432509,25.08100417,100.2621213,25.60771126,800.0,2012,长坡 → 大理,节点坐标为城市点位或别名映射后的地级市点位
S056,西南成品油管网（南线）,南宁,黎塘,N024,N151,108.3621636,22.82027814,108.3621636,22.82027814,800.0,2012,南宁 → 黎塘,节点坐标为城市点位或别名映射后的地级市点位
S057,西南成品油管网（南线）,长坡,曲靖,N141,N066,102.7432509,25.08100417,103.7914451,25.49347973,800.0,2012,长坡 → 曲靖,节点坐标为城市点位或别名映射后的地级市点位
S058,西南成品油管网（南线）,秋田冲,昆东,N108,N062,102.7432509,25.08100417,102.7432509,25.08100417,800.0,2012,秋田冲 → 昆东,节点坐标为城市点位或别名映射后的地级市点位
S059,珠三角成品油管网,茂名,江门,N117,N081,110.9216638,21.66642469,113.0740716,22.58145271,550.0,2006,茂名 → 江门,节点坐标为城市点位或别名映射后的地级市点位
S060,珠三角成品油管网,南沙,南海,N026,N027,113.2578297,23.1332448,113.1135059,23.02428458,250.0,2006,南沙 → 南海,节点坐标为城市点位或别名映射后的地级市点位
S061,珠三角成品油管网,三水,花都,N003,N115,113.1135059,23.02428458,113.2578297,23.1332448,250.0,2006,三水 → 花都,节点坐标为城市点位或别名映射后的地级市点位
S062,珠三角成品油管网,南沙,斗门,N026,N060,113.2578297,23.1332448,113.5728911,22.2745396,100.0,2006,南沙 → 斗门,节点坐标为城市点位或别名映射后的地级市点位
S063,珠三角成品油管网,北沙,珠海,N021,N103,113.5728911,22.2745396,113.5728911,22.2745396,100.0,2006,北沙 → 珠海,节点坐标为城市点位或别名映射后的地级市点位
S064,珠三角成品油管网,黄埔,南沙,N150,N026,113.2578297,23.1332448,113.2578297,23.1332448,300.0,2006,黄埔 → 南沙,节点坐标为城市点位或别名映射后的地级市点位
S065,珠三角成品油管网,黄埔,惠州,N150,N056,113.2578297,23.1332448,114.4106386,23.11487488,350.0,2006,黄埔 → 惠州,节点坐标为城市点位或别名映射后的地级市点位
