alias,city_code,canonical_city_name,province_name,resolution_method,evidence_note,review_status
惠州市,441300,惠州市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
成都市,510100,成都市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
扬州市,321000,扬州市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
承德市,130800,承德市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
抚州市,361000,抚州市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
抚顺市,210400,抚顺市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
拉萨市,540100,拉萨市,西藏自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
揭阳市,445200,揭阳市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
攀枝花市,510400,攀枝花市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
文山壮族苗族自治州,532600,文山壮族苗族自治州,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
新乡市,410700,新乡市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
新余市,360500,新余市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
无锡市,320200,无锡市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
日喀则市,540200,日喀则市,西藏自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
日照市,371100,日照市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
昆明市,530100,昆明市,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
昌吉回族自治州,652300,昌吉回族自治州,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
昌都市,540300,昌都市,西藏自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
昭通市,530600,昭通市,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
晋中市,140700,晋中市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
晋城市,140500,晋城市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
普洱市,530800,普洱市,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
景德镇市,360200,景德镇市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
曲靖市,530300,曲靖市,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
朔州市,140600,朔州市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
朝阳市,211300,朝阳市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
本溪市,210500,本溪市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
来宾市,451300,来宾市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
杭州市,330100,杭州市,浙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
松原市,220700,松原市,吉林省,canonical,Exact canonical name from frozen 2024 city master.,approved
林芝市,540400,林芝市,西藏自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
果洛藏族自治州,632600,果洛藏族自治州,青海省,canonical,Exact canonical name from frozen 2024 city master.,approved
枣庄市,370400,枣庄市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
柳州市,450200,柳州市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
株洲市,430200,株洲市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
桂林市,450300,桂林市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
梅州市,441400,梅州市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
梧州市,450400,梧州市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
楚雄彝族自治州,532300,楚雄彝族自治州,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
榆林市,610800,榆林市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
武威市,620600,武威市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
武汉市,420100,武汉市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
毕节市,520500,毕节市,贵州省,canonical,Exact canonical name from frozen 2024 city master.,approved
永州市,431100,永州市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
汉中市,610700,汉中市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
汕头市,440500,汕头市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
汕尾市,441500,汕尾市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
江门市,440700,江门市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
池州市,341700,池州市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
沈阳市,210100,沈阳市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
沧州市,130900,沧州市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
河池市,451200,河池市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
河源市,441600,河源市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
泉州市,350500,泉州市,福建省,canonical,Exact canonical name from frozen 2024 city master.,approved
泰安市,370900,泰安市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
泰州市,321200,泰州市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
泸州市,510500,泸州市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
洛阳市,410300,洛阳市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
